Model,Task,Analyte,auroc,auprc,f1,precision,recall,accuracy,balanced_accuracy,brier_score,ece,f1_optimized,precision_optimized,recall_optimized,optimal_threshold,rmse,mae,r2,explained_variance,median_ae,detected_rmse,censored_rmse,concordance_index,subset_accuracy,hamming_loss,macro_auroc,micro_auroc,macro_auprc,micro_auprc,macro_f1,micro_f1,label_ranking_avg_precision,mean_per_label_auroc,auroc_PFOS,auprc_PFOS,auroc_PFOA,auprc_PFOA,auroc_PFBS,auprc_PFBS,auroc_PFHxS,auprc_PFHxS,auroc_HFPO-DA,auprc_HFPO-DA
dummy_classifier,T1,PFOS,0.5,0.2157622739018088,0.0,0.0,0.0,0.7842377260981912,0.5,0.17683162241806605,0.08730811735191862,0.35494155154091395,0.2157622739018088,1.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,T1,PFOS,0.7534464294913741,0.674162409897729,0.5757864632983795,0.551094890510949,0.6027944111776448,0.8083548664944014,0.7338519008112276,0.14756728488009588,0.17646604278150985,0.6545454545454545,0.7598944591029023,0.5748502994011976,0.6732323232323232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_classifier,T1,PFOS,0.8636253029361376,0.7809783620874269,0.6822916666666666,0.9812734082397003,0.5229540918163673,0.8949181739879414,0.7601041738598586,0.08815173804759979,0.024417789557083965,0.6680161943319838,0.6776180698151951,0.6586826347305389,0.25747474747474747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgboost_default,T1,PFOS,0.8362440412968681,0.7490695051054352,0.6699386503067485,0.8694267515923567,0.5449101796407185,0.884151593453919,0.7611975390240935,0.0982389748096466,0.06429802587069931,0.5815126050420169,0.502177068214804,0.6906187624750499,0.10898989898989898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_forest_classifier,T1,PFOS,0.8499409747227128,0.75292729882087,0.6371061843640606,0.7668539325842697,0.5449101796407185,0.8660637381567614,0.7496654138181627,0.10896455604038134,0.11907235976478885,0.5977186311787073,0.4828009828009828,0.7844311377245509,0.30696969696969695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp_classifier,T1,PFOS,0.7158779640060899,0.47649988354538797,0.524701873935264,0.4576523031203566,0.6147704590818364,0.7596899224806202,0.7071655700131861,0.18003684282302856,0.19135716527059507,0.5619678334910123,0.5341726618705036,0.592814371257485,0.6138383838383838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn1d_classifier,T1,PFOS,0.7871894870336209,0.5067466121268461,0.47418967587034816,0.33905579399141633,0.7884231536926147,0.6227390180878553,0.6827892814042426,0.22806322574615479,0.3019578699335379,0.3861788617886179,0.24247064828994386,0.9481037924151696,0.25747474747474747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lightgbm_classifier,T1,PFOS,0.8470264303901807,0.7627899978248927,0.6254612546125461,0.58147512864494,0.6766467065868264,0.8251507321274764,0.7713271973351485,0.12002894449961009,0.12028691899027807,0.6374269005847953,0.6228571428571429,0.6526946107784432,0.5445454545454546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catboost_classifier,T1,PFOS,0.8449208118633682,0.7581857759394605,0.5336021505376344,0.4022289766970618,0.7924151696606786,0.7011197243755384,0.7342086831279779,0.18294599607130285,0.2711969086354044,0.5983193277310924,0.5166908563134979,0.7105788423153693,0.594040404040404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnn_gcn_classifier,T1,PFOS,0.6417823331919357,0.2847630399096937,0.4864433811802233,0.4050464807436919,0.6087824351297405,0.7226528854435831,0.6813818820349417,0.2222890853881836,0.19877418174923345,0.5,0.4251748251748252,0.6067864271457086,0.5247474747474747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnn_sage_classifier,T1,PFOS,0.4817109328843686,0.19525136838104318,0.11953612845673506,0.10806451612903226,0.13373253493013973,0.5749354005167958,0.4150266189203142,0.28457874059677124,0.29122665363676226,0.37506387327542157,0.25206043956043955,0.7325349301397206,0.24757575757575756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
