Task,Model,Region,All AUROC,Filtered AUROC,Delta AUROC,N All,N Filtered,N Excluded
T1,xgboost,2,0.727,0.849,+0.121,1863,827,1036
T1,xgboost,5,0.919,0.918,-0.001,3482,2266,1216
T1,xgboost,7,0.844,0.832,-0.012,1551,595,956
T1,xgboost,9,0.806,0.805,-0.001,2410,1444,966
T1,xgboost,10,0.971,0.905,-0.066,832,576,256
T1,random_forest,2,0.668,0.818,+0.150,1863,827,1036
T1,random_forest,5,0.907,0.903,-0.004,3482,2266,1216
T1,random_forest,7,0.800,0.838,+0.037,1551,595,956
T1,random_forest,9,0.789,0.784,-0.005,2410,1444,966
T1,random_forest,10,0.968,0.892,-0.077,832,576,256
T1,catboost,2,0.727,0.860,+0.133,1863,827,1036
T1,catboost,5,0.916,0.912,-0.004,3482,2266,1216
T1,catboost,7,0.852,0.842,-0.010,1551,595,956
T1,catboost,9,0.789,0.791,+0.002,2410,1444,966
T1,catboost,10,0.966,0.907,-0.059,832,576,256
T4,xgboost,1,0.601,0.563,-0.037,5231,524,4707
T4,xgboost,2,0.723,0.696,-0.028,7741,772,6969
T4,xgboost,3,0.620,0.574,-0.046,9499,861,8638
T4,xgboost,4,0.690,0.715,+0.025,14498,2289,12209
T4,xgboost,5,0.710,0.680,-0.030,14813,2039,12774
T4,xgboost,6,0.662,0.637,-0.025,11268,1979,9289
T4,xgboost,7,0.636,0.603,-0.033,5667,606,5061
T4,xgboost,8,0.718,0.677,-0.041,5393,522,4871
T4,xgboost,9,0.705,0.585,-0.121,7648,1108,6540
T4,xgboost,10,0.691,0.647,-0.045,7134,506,6628
T4,random_forest,1,0.608,0.588,-0.020,5231,524,4707
T4,random_forest,2,0.734,0.700,-0.034,7741,772,6969
T4,random_forest,3,0.612,0.571,-0.041,9499,861,8638
T4,random_forest,4,0.680,0.712,+0.031,14498,2289,12209
T4,random_forest,5,0.718,0.707,-0.011,14813,2039,12774
T4,random_forest,6,0.636,0.629,-0.007,11268,1979,9289
T4,random_forest,7,0.613,0.619,+0.006,5667,606,5061
T4,random_forest,8,0.706,0.680,-0.025,5393,522,4871
T4,random_forest,9,0.682,0.580,-0.102,7648,1108,6540
T4,random_forest,10,0.669,0.648,-0.021,7134,506,6628
T4,catboost,1,0.604,0.588,-0.015,5231,524,4707
T4,catboost,2,0.739,0.723,-0.016,7741,772,6969
T4,catboost,3,0.628,0.604,-0.024,9499,861,8638
T4,catboost,4,0.681,0.712,+0.030,14498,2289,12209
T4,catboost,5,0.736,0.748,+0.012,14813,2039,12774
T4,catboost,6,0.671,0.664,-0.007,11268,1979,9289
T4,catboost,7,0.640,0.597,-0.044,5667,606,5061
T4,catboost,8,0.732,0.688,-0.043,5393,522,4871
T4,catboost,9,0.697,0.567,-0.130,7648,1108,6540
T4,catboost,10,0.694,0.640,-0.055,7134,506,6628
